timeperiod_sortable,timeperiod_label,timeperiod_type,indicator,llo,area_name,area_code,value
20200401,Apr 2020,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.95
20200501,May 2020,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.95
20200601,Jun 2020,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.93
20200701,Jul 2020,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.95
20200801,Aug 2020,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.93
20200901,Sep 2020,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.96
20201001,Oct 2020,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.9199999999999999
20201101,Nov 2020,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.9
20201201,Dec 2020,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.9099999999999999
20210101,Jan 2021,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.91
20210201,Feb 2021,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.92
20210301,Mar 2021,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.92
20210401,Apr 2021,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.93
20210501,May 2021,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.96
20210601,Jun 2021,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.92
20210701,Jul 2021,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.93
20210801,Aug 2021,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.95
20210901,Sep 2021,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.94
20211001,Oct 2021,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.92
20211101,Nov 2021,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.94
20211201,Dec 2021,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.96
20220101,Jan 2022,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.93
20220201,Feb 2022,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.92
20220301,Mar 2022,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.95
20220401,Apr 2022,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.94
20220501,May 2022,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.95
20220601,Jun 2022,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.96
20220701,Jul 2022,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.96
20220801,Aug 2022,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.95
20220901,Sep 2022,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.94
20221001,Oct 2022,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.94
20221101,Nov 2022,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.94
20221201,Dec 2022,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.94
20230101,Jan 2023,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.96
20230201,Feb 2023,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.96
20230301,Mar 2023,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.96
20230401,Apr 2023,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.95
20230501,May 2023,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.95
20230601,Jun 2023,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.95
20230701,Jul 2023,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.95
20230801,Aug 2023,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.95
20230901,Sep 2023,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.95
20231001,Oct 2023,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.95
20231101,Nov 2023,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.94
20231201,Dec 2023,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.95
20240101,Jan 2024,Monthly,People from different backgrounds getting on well together in local area,Londoners get on with and support each other,London,,0.95
